#Add comments by starting lines with #
#Trait names usually start with major categories (e.g., Central nervous system, development) followed by a colon and then the specfic trait (e.g., Brain weight at embryonic day 16), followed by the units in square brackets (e.g., [mg]).
#Follow trait name conventions (see http://www.genenetwork.org/faq.html#Q-22) if possible for data intended for permanent use in GeneNetwork (see examples below)
#If you export this file from Excel use Tab-Delimited Text output and make sure that the text file does not have unintended hyphens
#Last edit of this example file by Rob Williams (rwilliams@uthsc.edu), November 2010
#This sample can be used as is for mouse BXD cases. It is in a column format (each trait in a column). You can add up to about 100 traits in this format
#Row should be tab-delimited
#Missing values MUST be represented with a non-numeric character such as an x
#Trait Name / Case Identifier should always be in the 1st row or column
#Trait name can contain white space but no tabs
#Each row or column must have the same number of items
#Case identifiers must match existing cases already in the GeneNetwork database exactly.
#If the case identifier field contains unknown cases or strains (for example BXD999)
#then the file will be rejected by GeneNetwork.
#The cell below that starts with the @ symbol defines the format of the text file (row or column format)
#The @ symbol must be followed by format=column or format=row
#@format=column, each column is a trait							
#@format=row, each row is a trait									
#The OPTIONAL SE/N columns or rows should immediately follow								
#the corresponding Trait value columns or rows							
#You do NOT need to enter names of missing cases or strains. In this example we list all BXD strains as of Nov 2010 for completeness only.								
#Data and columns start on the next line						
@format=column	Central nervous system, morphology: Brain weight in 2-month-old adult males and females (balanced sample) on a standard diet (Teklad 7001 4% fat) [mg]	SE	N	Central nervous system, behavior, learning and memory: Learning speed, initial acquisition of task, trials to criterion in naive 4-month adult males (Med Associaes nose poke system chamber, low values = faster learning) [n]	SE	N	Infectious disease, immune function: Cowpox virus maximum body temperature over two weeks after 10^6 pfu intranasal inoculation, males and females between 40 and 152 days of age, residuals corrected for sex, age and body weight [scaled deg C where -0.5 is >34.5 and 0.5 is <38]	SE	N	Musculoskeletal system: Bone mineral density (WC-BMD) in females corrected for whole body weight [mg/cm2]	SE	N
BXD21	437.124	5.27705	55	448.585	5.44503	55	438.8	4.83952	55	450.265	5.07514	55
BXD22	449.665	3.05039	26	464.446	3.27287	26	455.448	2.13444	26	469.971	2.44062	26
BXD23	421.082	4.17855	40	435.918	4.27217	40	427.6	3.42308	40	442.154	3.58323	40
BXD24A	385.6	5.60732	13	385.6	5.60732	13	390.801	5.55982	13	389.581	5.4454	13
BXD24	409.5	4.16289	31	422.906	4.08013	31	403.73	3.06946	31	417.29	3.18527	31
BXD25	408.762	4.37784	34	421.032	4.56433	34	415.684	3.88375	34	427.953	4.06899	34
BXD27	367.645	2.7341	76	378.007	2.79269	76	372.155	2.84779	76	381.942	2.89361	76
BXD28	402.813	2.85413	47	410.553	3.35291	47	406.136	3.25772	47	412.801	3.745	47
BXD29	395.046	4.62962	28	408.068	4.55469	28	402.946	4.23511	28	415.167	4.14587	28
BXD30	372.922	4.79163	23	386.165	4.8948	23	385.661	4.3811	23	398.138	4.39818	23
BXD31	416.129	2.65675	90	428.674	2.83145	90	418.728	2.20187	90	430.899	2.43834	90
BXD32	430.71	2.62957	144	440.238	2.67964	144	428.894	2.72517	144	437.842	2.8203	144
BXD33	428.577	4.89593	40	441.843	4.96852	40	436.37	4.92529	40	449.352	5.07003	40
BXD34	420.545	4.3474	78	426.309	4.51253	78	415.725	4.40693	78	421.077	4.70507	78
BXD35	417.244	6.80333	18	429.194	6.75819	18	425.596	4.84255	18	436.49	4.73761	18
BXD36	415.869	2.8703	101	423.973	3.02825	101	419.859	2.52	101	427.587	2.76698	101
BXD37	424.187	9.76611	8	438.875	9.68529	8	410.872	7.37248	8	429.919	6.76501	8
BXD38	420.67	4.27944	50	431.658	4.84149	50	428.497	3.71159	50	438.688	4.26129	50
BXD39	416.726	2.18479	89	423.244	2.15454	89	414.214	2.20137	89	420.157	2.29632	89
BXD40	436.781	2.75789	94	444.022	3.03073	94	439.594	2.41315	94	446.549	2.7255	94
BXD41	X	X	X	X	X	X	X	X	X	X	X	X
BXD42	442.56	3.86432	48	448.86	4.34837	48	443.02	3.57878	48	448.954	4.1756	48
BXD43	421.38	2.25784	142	430.715	2.21256	142	423.284	2.1093	142	432.182	2.05193	142
BXD44	438.364	2.07963	202	447.31	2.16943	202	437.138	1.99189	202	446.894	2.09827	202
BXD45	442.016	3.46504	82	452.188	3.44085	82	446.642	3.03991	82	457.649	3.02277	82
BXD48	412.269	2.41433	103	426.145	2.5985	103	412.671	2.21405	103	426.057	2.30756	103
BXD49	405.833	7.27286	6	405.833	7.27286	6	407.057	6.12464	6	405.682	5.94263	6
BXD50	417.544	5.64804	48	418.835	5.67934	48	418.391	5.25401	48	419.602	5.35175	48
BXD51	440.517	2.13807	173	450.949	2.16332	173	439.887	2.15283	173	450.419	2.19282	173
BXD52	X	X	X	X	X	X	X	X	X	X	X	X
BXD53	X	X	X	X	X	X	X	X	X	X	X	X
BXD54	X	X	X	X	X	X	X	X	X	X	X	X
BXD55	469.816	4.59255	56	470.787	4.69293	56	469.944	4.03921	56	470.528	4.19855	56
BXD56	434.81	4.88569	49	434.81	4.88569	49	429.454	4.71976	49	429.871	4.71861	49
BXD59	X	X	X	X	X	X	X	X	X	X	X	X
BXD60	448.498	1.7843	189	458.608	1.76945	189	437.122	2.06878	189	447.543	2.11393	189
BXD61	457.539	2.95708	99	462.095	3.1982	99	454.284	2.53187	99	458.602	2.76129	99
BXD62	437.164	1.71684	176	446.616	1.7703	176	437.106	1.68988	176	446.437	1.72316	176
BXD63	408.1	6.72499	18	418.356	7.49172	18	414.111	6.54852	18	424.192	6.9783	18
BXD64	446.6	12.1	2	463.25	12.55	2	436.282	9.18872	2	454.906	10.0998	2
BXD65	424.386	4.09947	36	430.269	4.82246	36	421.458	3.29804	36	428.059	3.87902	36
BXD66	410.231	2.81867	81	414.089	3.08511	81	411.204	2.74612	81	416.054	2.96391	81
BXD67	408.775	10.0394	8	408.775	10.0394	8	412.544	8.80494	8	412.731	8.77247	8
BXD68	444.11	4.52665	29	448.166	4.96748	29	437.758	4.47189	29	443.091	4.64852	29
BXD69	451.167	2.00258	188	459.29	1.99617	188	447.899	1.92635	188	455.804	1.9943	188
BXD70	429.748	2.65067	90	432.61	2.77249	90	426.008	2.37461	90	429.612	2.53147	90
BXD71	443.741	5.41424	32	443.741	5.41424	32	443.397	4.89018	32	444.027	5.00329	32
BXD72	X	X	X	X	X	X	X	X	X	X	X	X
BXD73	439.678	2.1279	165	447.399	2.11998	165	442.63	1.9248	165	450.786	1.98543	165
BXD74	390.75	6.66302	4	390.75	6.66302	4	397.488	6.81866	4	396.589	6.86468	4
BXD75	421.067	2.45511	102	426.632	2.5384	102	421.741	2.18643	102	427.256	2.2339	102
BXD76	436.1	12.5587	3	452.333	13.0425	3	433.432	10.3084	3	452.429	10.8048	3
BXD77	453.04	4.54135	47	462.698	4.79556	47	437.88	4.11233	47	447.104	4.18885	47
BXD78	417.172	5.71781	25	432.592	5.92743	25	419.535	5.98787	25	434.523	6.1596	25
BXD79	374.017	5.13812	6	376.25	4.74649	6	382.556	6.51856	6	386.006	6.53608	6
BXD80	439.776	4.2592	50	443.226	4.74159	50	440.205	3.67541	50	444.4	4.23046	50
BXD81	406.688	10.613	8	410.863	13.0263	8	412.357	12.4286	8	418.587	17.0533	8
BXD83	439.462	6.55372	32	439.462	6.55372	32	448.101	6.16712	32	448.472	6.22942	32
BXD84	409.604	6.93455	26	409.604	6.93455	26	411.322	5.54646	26	411.292	5.55144	26
BXD85	431.285	4.48793	46	442.554	4.92919	46	429.114	4.01427	46	439.863	4.3813	46
BXD86	484.774	2.73209	96	493.732	2.99082	96	478.721	2.31356	96	487.895	2.51441	96
BXD87	429.752	3.24105	90	433.656	3.32098	90	426.975	2.55312	90	432.278	2.73586	90
BXD88	X	X	X	X	X	X	X	X	X	X	X	X
BXD89	446.717	3.95748	54	452.848	4.0834	54	439.92	2.77706	54	446.726	3.14217	54
BXD90	434.574	2.74025	61	442.911	3.28701	61	432.472	2.52911	61	441.078	2.95238	61
BXD91	462.85	15.3439	6	480.033	15.9208	6	464.823	11.901	6	483.377	13.6817	6
BXD92	434.901	2.6265	94	447.012	2.65841	94	426.579	2.61316	94	437.93	2.5882	94
BXD93	415.322	9.9441	18	425.9	8.87493	18	413.024	8.74523	18	423.064	8.11772	18
BXD94	X	X	X	X	X	X	X	X	X	X	X	X
BXD95	442.48	13.9709	15	442.48	13.9709	15	438.914	11.6683	15	438.51	11.8244	15
BXD96	416.705	2.40746	79	422.709	2.82137	79	414.948	1.84956	79	420.545	2.13275	79
BXD97	443.842	3.50265	60	452.41	3.81498	60	434.971	3.4102	60	443.171	3.57023	60
BXD98	412.735	5.93566	26	418.7	6.39862	26	412.886	6.08229	26	419.56	6.46353	26
BXD99	452.074	7.31644	23	452.074	7.31644	23	449.968	6.23857	23	450.869	6.38034	23
BXD100	445.842	3.91536	45	446.227	3.96688	45	436.52	3.96124	45	436.924	4.0852	45
BXD101	378.333	3.8873	6	378.333	3.8873	6	383.553	4.00709	6	382.171	3.99984	6
BXD102	402.891	8.39658	23	402.891	8.39658	23	398.186	9.88929	23	397.68	9.92951	23
BXD103	452.84	5.2315	5	452.84	5.2315	5	443.996	X	5	444.23	X	5
